palavra,casa,arquivo,raridade,posicao,cadeia,sentido,sentido_de
TÉDIO,dificil,noun.feeling,rara,8743,tédio,"desgosto profundo, que faz que se olhe com repugnância as pessoas, as coisas ou os fatos",Wikcionário
VENTO,dificil,noun.phenomenon,comum,1647,vento > clima > fenômeno atmosférico,o ar atmosférico em movimento natural,Wikcionário
VERGONHA,dificil,noun.feeling,comum,1305,vergonha > emoção > condição > atributo,confusão que se apodera do nosso espírito pelo receio de desonra,Wikcionário
ÊXTASE,dificil,noun.state,rara,11542,êxtase > espírito > abalo > emoção,,
ÓDIO,dificil,noun.feeling,conhecida,2749,ódio > abalo > emoção > condição,aversão; rancor; desejo de ruína ou desgraça alheia,Wikcionário
ACADEMIA,objeto,noun.artifact,conhecida,2615,academia,"sociedade científica, literária ou artística cujo estabelecimento tem autoridade pública",Wikcionário
AEROPORTO,objeto,noun.artifact,comum,1987,aeroporto > infra-estrutura > artefato > todo,,
ALMOÇO,objeto,noun.food,comum,1307,almoço > refeição > alimentação > alimento,refeição servida por volta do meio-dia ou ao princípio da tarde,Wikcionário
AMBULÂNCIA,objeto,noun.artifact,conhecida,2608,ambulância > auto > veículos motorizados,qualidade ou estado do que é ambulante; errância,Wikcionário
ANEL,objeto,noun.body,comum,1678,anel > cabelo,aro circular feito para segurar algo,Wikcionário
APARTAMENTO,objeto,noun.artifact,comum,902,apartamento > abrigo > edifício > artefato,ato ou efeito de apartar,Wikcionário
AREIA,objeto,noun.substance,conhecida,2572,areia > solo > materiais > substância,,
ARMA,objeto,noun.artifact,comum,411,arma > aparelho > aparato > apetrecho,instrumento usado para ataque e defesa,Wikcionário
ARMADILHA,objeto,noun.artifact,conhecida,2489,armadilha > aparato > apetrecho > artefato,artifício para caçar animais,Wikcionário
AVIÃO,objeto,noun.artifact,comum,929,avião,,
AÇÚCAR,objeto,noun.food,conhecida,2768,açúcar > adoçante > aromatizante > ingrediente,"substância doce extraída da cana-de-açúcar, da beterraba, etc",Wikcionário
BALA,objeto,noun.artifact,comum,1538,bala > Projéctil > arma > aparelho,,
BANHO,objeto,noun.artifact,comum,1240,banho > vasilha > contentor > apetrecho,"imersão de um corpo em água, vapor, lama, etc, para limpeza ou tratamento médico",Wikcionário
BAR,objeto,noun.artifact,comum,939,bar > aposento,,
BARCO,objeto,noun.artifact,comum,916,barco > Embarcações > navio > veículo,veículo de transporte aquático,Wikcionário
BARRIGA,objeto,noun.body,conhecida,3051,barriga > Anatomia > parte > coisa,"cavidade do tronco dos animais, que fica entre o tórax e a bacia e contém o estômago e os intestinos, entre outros órgãos; ventre",Wikcionário
BICICLETA,objeto,noun.artifact,conhecida,2701,bicicleta,veículo de duas rodas movido a força humana,Wikcionário
BOCA,objeto,noun.body,comum,444,boca,local por onde se introduzem os alimentos,Wikcionário
BOLA,objeto,noun.artifact,comum,1074,bola,objeto redondo que é atirado ou jogado ou chutado em jogos,OpenWordnet-PT
BOLSO,objeto,noun.artifact,conhecida,2328,bolso > bolsa > contentor > apetrecho,algibeira,Wikcionário
BOMBA,objeto,noun.artifact,comum,1252,bomba > arma > apetrecho > artefato,"artefato explosivo usado como arma, empregado em guerras contra alvos militares ou civis, que pode ser lançado ou plantado",Wikcionário
BOTÃO,objeto,noun.artifact,conhecida,2682,botão,"dispositivo encontrado em máquinas usado - pressionando - para mudar o estado da máquina, começar ou parar um processo",Wikcionário
BRAÇO,objeto,noun.body,comum,1298,braço > membro,"um membro do ser humano. Tecnicamente, a parte entre o ombro e o cotovelo do membro superior, mas comumente usado para se referir ao membro superior inteiro",OpenWordnet-PT
CABELO,objeto,noun.body,comum,684,cabelo,Uma cobertura para o corpo (ou partes dele) que consiste em um crescimento denso de estruturas ciliares (como as da cabeça humana); ajuda a evitar perda de calor,OpenWordnet-PT
CABEÇA,objeto,noun.body,comum,279,cabeça,"parte do corpo humano, onde se localizam o cérebro, protegido pelo crânio, e a face, ligada ao tronco pelo pescoço",Wikcionário
CADEIRA,objeto,noun.artifact,comum,1509,cadeira > assento > alfaia > mobiliário,"objeto do mobiliário sobre o qual se assenta, normalmente composta por quatro pés, um assento e um encosto",Wikcionário
CAFÉ,objeto,noun.food,comum,501,café > bebida > alimento > substância,fruto gerado pelo cafeeiro,Wikcionário
CAMA,objeto,noun.artifact,comum,566,cama,"móvel, normalmente plano e macio, usado para dormir",Wikcionário
CAMINHÃO,objeto,noun.artifact,comum,1593,caminhão > veículos motorizados,carro grande geralmente utilizado no transporte de cargas; camião,Wikcionário
CAMISA,objeto,noun.artifact,comum,1746,camisa > artigo de vestuário > roupa > bens de consumo,peça de vestuário para vestir de dia em tecido leve para o tronco e braços com a fralda curta,Wikcionário
CANAL,objeto,noun.artifact,conhecida,2628,canal > aqueduto > passagem > caminho,meio usado para transportar uma mensagem do emissor ao receptor,Wikcionário
CARNE,objeto,noun.body,comum,1015,carne > corpo > objeto natural > todo,tecido muscular do homem e dos animais,Wikcionário
CARRO,objeto,noun.artifact,comum,218,carro > veículos motorizados,"veículo com a capacidade de se movimentar guiado por um motorista, geralmente com a finalidade de transportar pessoas",Wikcionário
CARTÃO,objeto,noun.artifact,comum,1226,cartão > papel > materiais > substância,papel forte,Wikcionário
CASACO,objeto,noun.artifact,comum,1855,casaco > sobretudo > artigo de vestuário > roupa,peça de vestuário que os homens usam sobre a camisa ou o colete e as mulheres por cima do vestido,Wikcionário
CASTELO,objeto,noun.artifact,conhecida,2467,castelo > mansão > casa > edifício,habitação antiga fortificada,Wikcionário
CELA,objeto,noun.artifact,conhecida,2886,cela > compartimento > espaço > localização,,
CERVEJA,objeto,noun.food,comum,1087,cerveja > fermentação > Bebida Alcoólica > bebida,bebida alcoólica fraca obtida a partir da fermentação da cevada germinada a que se junta água e flores de lúpulo,Wikcionário
CHAPÉU,objeto,noun.artifact,comum,1795,chapéu > roupa > bens de consumo > Bens,artefato que protege a cabeça do mau tempo; tem formato arredondado e geralmente uma aba,OpenWordnet-PT
CHAVE,objeto,noun.artifact,comum,942,chave > aparato > apetrecho > artefato,"objeto usado para abrir e fechar uma fechadura, algemas ou cadeado",Wikcionário
CHÁ,objeto,noun.food,comum,1107,chá > bebida > alimento > substância,,
CHÃO,objeto,noun.object,comum,797,chão > objeto > entidade física > entidade,superfície pela qual se caminha,Wikcionário
CIGARRO,objeto,noun.artifact,conhecida,2426,cigarro > rolo de tabaco > fumo,tabaco finamente moído envolto em papel; usado para fumar,OpenWordnet-PT
COFRE,objeto,noun.artifact,conhecida,2591,cofre > caixa-forte > caixa > contentor,local onde se guardam dinheiro e objetos de valor,Wikcionário
COMPUTADOR,objeto,noun.artifact,comum,1278,computador > maquinaria > aparato > apetrecho,o que faz cômputos (cálculos); o que computa,Wikcionário
COPO,objeto,noun.artifact,comum,1996,copo > contentor > apetrecho > artefato,"recipiente, normalmente cilíndrico, do qual podem beber-se líquidos",Wikcionário
CORREDOR,objeto,noun.artifact,comum,1950,corredor > passagem > caminho > artefato,aquele que corre,Wikcionário
COZINHA,objeto,noun.artifact,comum,1100,cozinha > aposento,,
CÂMERA,objeto,noun.artifact,comum,1231,câmera > equipamento fotográfico > equipamento > apetrecho,aparelho usado para tirar fotografias e/ou filmar,Wikcionário
CÉREBRO,objeto,noun.body,comum,1071,cérebro,,
CÉU,objeto,noun.object,comum,871,céu > ar > gás > fluido,parte do espaço que parece formar uma abóbada em cima de nossas cabeças; abóbada celeste,Wikcionário
DEDO,objeto,noun.body,comum,1878,dedo > membro,"qualquer dos membros finais da mão (às vezes, excetuando o polegar)",OpenWordnet-PT
DELEGACIA,objeto,noun.artifact,conhecida,2411,delegacia > estação > infra-estrutura > artefato,a repartição de responsabilidade do delegado,Wikcionário
DISCO,objeto,noun.artifact,conhecida,2732,disco > Gravação e reprodução sonora > Gravação,peça ou objeto circular e chato,Wikcionário
DOCE,objeto,noun.food,comum,1077,doce > prato > alimentação > alimento,qualquer preparação culinária cujo sabor revele a utilização de açúcar ou outro adoçante como ingrediente,Wikcionário
DROGA,objeto,noun.artifact,comum,417,droga > agente > causa > entidade física,substância que altera o as funções fisiológicas humanas,Wikcionário
EDIFÍCIO,objeto,noun.artifact,conhecida,3010,edifício > artefato > todo > objeto,"construção de alguma importância, como objetivo de servir à atividades humanas",Wikcionário
ELEVADOR,objeto,noun.artifact,conhecida,2855,elevador,aquilo ou quem eleva,Wikcionário
ESCADA,objeto,noun.artifact,conhecida,2759,escada > caminho > artefato > todo,um lance de escadas,OpenWordnet-PT
ESCRITÓRIO,objeto,noun.artifact,comum,630,escritório > estabelecimento comercial > estabelecimento > edifício,"local de trabalho, onde são realizadas atividades profissionais ou clericais",OpenWordnet-PT
ESPADA,objeto,noun.artifact,comum,1862,espada > arma > aparelho > aparato,"arma branca composta por um punho e uma lâmina pontiaguda e comprida, com um ou dois gumes",Wikcionário
ESPELHO,objeto,noun.artifact,conhecida,2565,espelho,superfície polida ou muito lisa com capacidade para refletir a luz,Wikcionário
ESTRADA,objeto,noun.artifact,comum,1014,estrada > caminho > artefato > todo,Um caminho aberto (geralmente público) para viagens ou transporte,OpenWordnet-PT
ESTÔMAGO,objeto,noun.body,conhecida,2472,estômago > víscera > órgão > Anatomia,"órgão, mais ou menos diferenciado, do tubo digestivo que desempenha importante papel na digestão",Wikcionário
ESTÚDIO,objeto,noun.artifact,conhecida,2579,estúdio > emprego,"local de trabalho de um artista (pintor, escultor, etc)",Wikcionário
FACA,objeto,noun.artifact,comum,1544,faca,"ferramenta de borda, utilizada como um instrumento de corte; tem uma lâmina pontiaguda com uma ponta afiada e um segurador",OpenWordnet-PT
FAZENDA,objeto,noun.artifact,conhecida,2187,fazenda > emprego,grande propriedade rural,Wikcionário
FERRO,objeto,noun.substance,conhecida,2730,ferro > Metais > elemento químico > substância,,
FITA,objeto,noun.artifact,comum,1895,fita > banda > artefato > todo,objeto de plástico que serve para reproduzir filmes,Wikcionário
FOTO,objeto,noun.artifact,comum,721,foto > afiguração > criação > artefato,fotografia,Wikcionário
FRANGO,objeto,noun.food,conhecida,2419,frango,"pinto já crescido que ainda não é galo, ou melhor, adolescente",Wikcionário
FÁBRICA,objeto,noun.artifact,conhecida,2272,fábrica,ato ou efeito de fabricar,Wikcionário
GARAGEM,objeto,noun.artifact,conhecida,2638,garagem,casa ou local para a recolha de veículos,Wikcionário
GARGANTA,objeto,noun.body,conhecida,2541,garganta > cavidade tubular,"parte ântero-superior do pescoço, formada pela faringe e pela laringe",Wikcionário
GARRAFA,objeto,noun.artifact,comum,1720,garrafa > vasilha > contentor > apetrecho,"recipiente de gargalo e boca estreitos, geralmente de vidro, cristal ou louça e sem alça(s), destinado a conter líquido",Wikcionário
GASOLINA,objeto,noun.substance,conhecida,2674,gasolina > carburante > substância > matéria,"mistura líquida de hidrocarbonetos, obtida pela destilação do petróleo bruto, usada em motores de explosão interna",Wikcionário
GELO,objeto,noun.substance,comum,1401,gelo > cristal > matéria sólida > matéria,água congelada no estado sólido,OpenWordnet-PT
HOSPITAL,objeto,noun.artifact,comum,624,hospital,Um centro de saúde onde os pacientes recebem tratamento,OpenWordnet-PT
HOTEL,objeto,noun.artifact,comum,815,hotel > edifício > artefato > todo,,
IGREJA,objeto,noun.artifact,comum,947,igreja > Lugares de prática religiosa > edifício > artefato,comunidade dos fiéis que creem em Jesus Cristo,Wikcionário
ILHA,objeto,noun.object,comum,1230,ilha > chão > objeto > entidade física,porção de terra emersa cercada de água,Wikcionário
INTERNET,objeto,noun.artifact,comum,1945,internet > rede > sistema > apetrecho,,
JANELA,objeto,noun.artifact,comum,1146,janela > estrutura,"buraco na parede, geralmente retangular, feito para permitir a entrada de luz e ar",Wikcionário
JANTAR,objeto,noun.food,comum,511,jantar > refeição > alimentação > alimento,a principal refeição do dia servida à noite ou ao meio-dia,OpenWordnet-PT
LABORATÓRIO,objeto,noun.artifact,comum,1432,laboratório > emprego,"local equipado para realizar experiências e investigações científicas ou para manufaturar produtos químicos, remédios, etc",Wikcionário
LAGO,objeto,noun.object,comum,1959,lago > corpo de água > coisa > entidade física,acumulação permanente de água numa depressão,Wikcionário
LEITE,objeto,noun.food,comum,1618,leite > lacticínio > alimento > substância,"líquido branco segregado pelas glândulas mamárias, existentes nas fêmeas dos mamíferos",Wikcionário
LIXO,objeto,noun.substance,comum,1152,lixo > materiais > substância > matéria,tudo o que se varre para limpar uma casa,Wikcionário
LOJA,objeto,noun.artifact,comum,844,loja > centros comerciais > estabelecimento comercial > estabelecimento,estabelecimento comercial,Wikcionário
LUA,objeto,noun.object,comum,1214,lua > satélite > astro > objeto natural,"satélite natural da Terra, que se destaca no céu durante a noite",Wikcionário
MALA,objeto,noun.artifact,conhecida,2422,mala > Bagagens,"bolsa (geralmente de couro ou pano e com cadeado) usada para carregar dinheiro, documentos e outros objetos",Wikcionário
MAPA,objeto,noun.artifact,conhecida,2043,mapa > afiguração > criação > artefato,carta geográfica ou celestial,Wikcionário
MAR,objeto,noun.object,comum,980,mar > corpo de água > coisa > entidade física,"grande quantidade de água salgada que cobre parte do planeta Terra, podendo estar localizada junto ou dentro de continentes",Wikcionário
MATO,objeto,noun.plant,conhecida,2784,mato > Planta lenhosa > Planta vascular > flora,,
MEIA,objeto,noun.artifact,comum,1189,meia,peça de vestuário de tecido de malha que se calça sobre a pele até meio da perna,Wikcionário
MEL,objeto,noun.food,conhecida,2064,mel > adoçante > aromatizante > ingrediente,"substância doce, espessa e viscosa elaborada pelas abelhas nas colmeias",Wikcionário
MINA,objeto,noun.artifact,conhecida,2719,mina > buracos escavados > artefato > todo,escavação no solo destinada a extração de minerais,Wikcionário
MOLHO,objeto,noun.artifact,conhecida,2887,molho > embalagem > contentor > apetrecho,caldo temperado para acompanhamento de alimentos ou para refogar iguarias,Wikcionário
MONTANHA,objeto,noun.object,comum,1971,montanha > elevação > formação > objeto,grande elevação de terra,Wikcionário
MOTOR,objeto,noun.artifact,conhecida,2339,motor > maquinaria > aparato > apetrecho,"dispositivo que converte outras formas de energia em energia mecânica, de forma a impelir movimento a uma máquina ou veículo",Wikcionário
MUSEU,objeto,noun.artifact,conhecida,3004,museu,"estabelecimento, normalmente público, onde estão reunidas coleções de objetos de arte, da ciência, etc",Wikcionário
MÃO,objeto,noun.body,comum,428,mão,"extremidade do membro anterior dos primatas, capaz de manipular objetos; parte do corpo semelhante ou análoga em outros animais",Wikcionário
NARIZ,objeto,noun.body,comum,1550,nariz,órgão responsável pelo sentido do olfato,Wikcionário
NAVIO,objeto,noun.artifact,comum,1452,navio > Embarcações > navio > veículo,embarcação de grande porte e tonelagem,Wikcionário
OCEANO,objeto,noun.object,conhecida,2661,oceano > corpo de água > coisa > entidade física,um grande corpo de água que constitui uma parte principal da hidrosfera,OpenWordnet-PT
OLHO,objeto,noun.body,comum,806,olho > Receptor sensorial > órgão > Anatomia,"órgão, geralmente aos pares, de vários animais responsável pela visão",Wikcionário
OURO,objeto,noun.substance,comum,974,ouro > metal nobre > Metais > elemento químico,,
PALCO,objeto,noun.artifact,comum,1685,palco > palanque,plataforma onde se executam (interpretam) peças de teatro ou música,Wikcionário
PALÁCIO,objeto,noun.artifact,conhecida,2979,palácio > mansão > casa > edifício,habitação suntuosa de um soberano ou personagem importante,Wikcionário
PAREDE,objeto,noun.artifact,comum,1433,parede > divisória > edifício > artefato,obra de alvenaria que fecha ou divide o espaço em uma construção,Wikcionário
PERNA,objeto,noun.body,comum,1529,perna > membro,um dos membros posteriores humanos,Wikcionário
PESCOÇO,objeto,noun.body,comum,1496,pescoço,parte do corpo da maioria dos animais que fica entre a cabeça e o tronco,Wikcionário
PINTURA,objeto,noun.artifact,conhecida,2868,pintura > arte gráfica > arte > criação,o ato ou arte de pintar,Wikcionário
PISCINA,objeto,noun.artifact,conhecida,2376,piscina > buracos escavados > artefato > todo,,
PLANETA,objeto,noun.object,comum,1029,planeta > astro > objeto natural > todo,,
PONTE,objeto,noun.artifact,comum,1690,ponte > edifício > artefato > todo,construção que liga dois locais separados por superfície líquida ou por depressão,Wikcionário
PORTA,objeto,noun.artifact,comum,358,porta,,
PORTÃO,objeto,noun.artifact,conhecida,2863,portão,,
PORÃO,objeto,noun.artifact,conhecida,2604,porão > andar > edifício > artefato,parte de um imóvel abaixo do primeiro piso,Wikcionário
PRAIA,objeto,noun.object,comum,1428,praia > formação > objeto > entidade física,faixa de terra que é coberta pelo mar quando acontece a maré cheia e que é descoberta quando acontece a maré baixa,Wikcionário
PRATO,objeto,noun.artifact,conhecida,2110,prato > contentor > apetrecho > artefato,uma peça de louça normalmente usada como um recipiente para manter ou servir alimentos,OpenWordnet-PT
PRÉDIO,objeto,noun.artifact,comum,1425,prédio > edifício > artefato > todo,"construção, edifício",Wikcionário
PULSO,objeto,noun.body,conhecida,2785,pulso,parte do antebraço junto à mão,Wikcionário
QUARTO,objeto,noun.artifact,comum,352,quarto,uma área dentro de um edifício cercada por paredes e piso e teto,OpenWordnet-PT
QUEIJO,objeto,noun.food,conhecida,2199,queijo > comida > matéria sólida > matéria,,
RELÓGIO,objeto,noun.artifact,comum,1592,relógio > Instrumento de medida > aparelho > aparato,instrumento usado para indicar as horas e medir o tempo,Wikcionário
REMÉDIO,objeto,noun.artifact,conhecida,2600,remédio > agente > causa > entidade física,qualquer coisa que seja utilizada na cura ou atenuamento de algum problema,Wikcionário
RESTAURANTE,objeto,noun.artifact,comum,1362,restaurante > edifício > artefato > todo,Um local onde as pessoas vão para comer,OpenWordnet-PT
RIO,objeto,noun.object,comum,1147,rio > corrente > corpo de água > coisa,curso por onde passa água doce continuamente (ou durante épocas específicas do ano),Wikcionário
ROSA,objeto,noun.plant,conhecida,2065,rosa > arbusto > Planta lenhosa > Planta vascular,a flor da roseira,Wikcionário
ROSTO,objeto,noun.body,comum,718,rosto,"a frente da cabeça humana, da testa ao queixo e de orelha à orelha",OpenWordnet-PT
ROUPA,objeto,noun.artifact,comum,961,roupa > bens de consumo > Bens > artefato,peça de tecido usada para cobrir partes do corpo,Wikcionário
SAIA,objeto,noun.artifact,comum,477,saia,"peça de vestuário feminino que fica da cintura para baixo, no geral, até ao joelho",Wikcionário
SAL,objeto,noun.substance,conhecida,2954,sal > composto químico > Química > materiais,,
SALA,objeto,noun.artifact,comum,533,sala,uma área dentro de um edifício cercada por paredes e piso e teto,OpenWordnet-PT
SALÃO,objeto,noun.artifact,conhecida,2739,salão > corredor > passagem > caminho,sala grande,Wikcionário
SANGUE,objeto,noun.body,comum,432,sangue > Fluidos corporais,,
SOFÁ,objeto,noun.artifact,conhecida,2349,sofá > assento > alfaia > mobiliário,"móvel que pode possuir braços ou encosto, em que podem sentar-se duas pessoas ou mais",Wikcionário
SOL,objeto,noun.object,comum,798,sol > estrela > astro > objeto natural,centro e principal astro do sistema solar,Wikcionário
SOLO,objeto,noun.object,conhecida,2369,solo > objeto > entidade física > entidade,terra,Wikcionário
SOPA,objeto,noun.food,conhecida,2650,sopa > prato > alimentação > alimento,"comida líquida ou pastosa, cozida, normalmente com vegetais e carne",Wikcionário
TELEFONE,objeto,noun.artifact,comum,514,telefone > equipamento eletrônico > equipamento > apetrecho,dispositivo de comunicação usado para transmitir sons a longa distância inventado por Alexandre Graham Bell,Wikcionário
TELHADO,objeto,noun.artifact,conhecida,2846,telhado > capa > artefato > todo,"conjunto de telhas que cobrem um edifício, uma , etc",Wikcionário
TEMPLO,objeto,noun.artifact,conhecida,2990,templo > Lugares de prática religiosa > edifício > artefato,lugar erigido em honra de uma divindade,Wikcionário
TERNO,objeto,noun.artifact,conhecida,2904,terno > artigo de vestuário > roupa > bens de consumo,"fato completo (paletó, colete e calças da mesma fazenda)",Wikcionário
TERRA,objeto,noun.object,comum,416,terra > objeto > entidade física > entidade,,
TETO,objeto,noun.artifact,conhecida,3029,teto > capa > artefato > todo,parte superior de um compartimento,Wikcionário
TORRE,objeto,noun.artifact,conhecida,2423,torre > edifício > artefato > todo,construção de grande extensão vertical,Wikcionário
TORTA,objeto,noun.food,conhecida,2764,torta > pastel > fornada > comida,"bolo de farinha entremeado de carne, peixe, fruta ou compota",Wikcionário
TREM,objeto,noun.artifact,comum,1123,trem > transporte público > meios de transporte > apetrecho,meio de transporte ferroviário,Wikcionário
TÁXI,objeto,noun.artifact,comum,1759,táxi > auto > veículos motorizados,automóvel de aluguel com taxímetro,Wikcionário
UNIFORME,objeto,noun.artifact,conhecida,2586,uniforme > roupa > bens de consumo > Bens,farda,Wikcionário
UNIVERSO,objeto,noun.object,comum,1569,universo > objeto natural > todo > objeto,"a totalidade da matéria e da energia existentes no espaço e no tempo, tudo o que existe, o todo",Wikcionário
UÍSQUE,objeto,noun.food,conhecida,2774,uísque > bebida alcoólica > bebida > alimento,nome dado à aguardente de cevada e outros cereais,Wikcionário
VENENO,objeto,noun.substance,conhecida,2771,veneno > substância > matéria > entidade física,"tóxico, peçonha",Wikcionário
VIDRO,objeto,noun.substance,conhecida,2687,vidro > matéria sólida > matéria > entidade física,,
VINHO,objeto,noun.food,comum,1159,vinho > Bebida Alcoólica > bebida > alimento,bebida fermentada feita da uva,Wikcionário
ÁGUA,objeto,noun.substance,comum,367,água > líquido > fluido > matéria,,
ÁLCOOL,objeto,noun.food,conhecida,2767,álcool > Bebida Alcoólica > bebida > alimento,líquido incolor produzido pela fermentação de diversas plantas,Wikcionário
ÁRVORE,objeto,noun.plant,comum,1414,árvore > Planta lenhosa > Planta vascular > flora,"vegetal grande, de tronco robusto, que se reveste de folhas",Wikcionário
ADOLESCENTE,pessoa,noun.person,conhecida,3622,adolescente > jovem > alguém > organismo,aquele que está na adolescência,Wikcionário
ADVOGADO,pessoa,noun.person,comum,823,advogado > profissional > adulto > alguém,um profissional autorizado a exercer a advocacia; realiza ações judiciais ou dá aconselhamento jurídico,OpenWordnet-PT
AGENTE,pessoa,noun.person,comum,712,agente,,
ALDEIA,pessoa,noun.location,conhecida,2751,aldeia > municipalidade > distrito administrativo > circunscrição,pequena povoação rústica sem jurisdição própria,Wikcionário
ALUNO,pessoa,noun.person,conhecida,4814,aluno > estudante > alguém > organismo,pessoa que está aprendendo,Wikcionário
AMIGO,pessoa,noun.person,comum,220,amigo > alguém > organismo > todo,,
ANJO,pessoa,noun.person,conhecida,2004,anjo > espirito > convicção > objecto mental,"segundo a mitologia cristã, criatura celestial puramente espiritual que atua como mensageiro entre Deus e os homens",Wikcionário
ARTISTA,pessoa,noun.person,comum,1827,artista > creador > alguém > organismo,aquele que produz arte,Wikcionário
ASSISTENTE,pessoa,noun.person,comum,1788,assistente > trabalhador > alguém > organismo,"aquele que assiste, que auxilia outro, auxiliar, adjunto",Wikcionário
ATIRADOR,pessoa,noun.person,conhecida,3295,atirador > arqueiro > especialista > alguém,a pessoa que atira,Wikcionário
ATOR,pessoa,noun.person,conhecida,3028,ator > intérprete > artista > alguém,pessoa que representa uma personagem no teatro ou no cinema,Wikcionário
ATRIZ,pessoa,noun.person,conhecida,3726,atriz > actor > intérprete > artista,feminino de ator,Wikcionário
AVÓ,pessoa,noun.person,comum,1632,avó > antepassado > ancestral > parente,mãe da mãe ou do pai,Wikcionário
AVÔ,pessoa,noun.person,comum,1751,avô > homem > adulto > alguém,pai da mãe ou do pai,Wikcionário
BAIRRO,pessoa,noun.location,conhecida,2659,bairro,parte da cidade ocupada em geral por povos da mesma esfera ou classe,Wikcionário
BEBÊ,pessoa,noun.person,comum,472,bebê > criança > descendente > parente,criança pequenina; nenê,Wikcionário
BRUXA,pessoa,noun.person,conhecida,2544,bruxa > creatura imaginaria > imaginação > Criatividade,mulher que faz bruxarias; feiticeira; maga; mágica; vidente,Wikcionário
CACHORRO,pessoa,noun.animal,comum,1036,cachorro > animal doméstico > animal > organismo,um membro do gênero Canis (provavelmente descendente do lobo comum) que foi domesticada pelo homem desde os tempos pré-históricos; ocorre em muitas raças,OpenWordnet-PT
CAMARADA,pessoa,noun.person,conhecida,3114,camarada > alguém > organismo > todo,companheiro de quarto,Wikcionário
CAMPEÃO,pessoa,noun.person,conhecida,2738,campeão > competidor > alguém > organismo,aquele que ganha uma competição,Wikcionário
CANDIDATO,pessoa,noun.person,conhecida,4608,candidato > político > chefe > alguém,pretendente a um emprego ou dignidade,Wikcionário
CANTOR,pessoa,noun.person,conhecida,4810,cantor > instrumentalista > intérprete > artista,uma pessoa que canta,OpenWordnet-PT
CAVALEIRO,pessoa,noun.person,conhecida,3632,cavaleiro > turista > alguém > organismo,um viajante que monta ativamente um animal (como um cavalo ou camelo),OpenWordnet-PT
CAVALHEIRO,pessoa,noun.person,conhecida,2485,cavalheiro > homem > adulto > alguém,,
CAVALO,pessoa,noun.animal,comum,997,cavalo > equino > Perissodáctilos > ungulados,quadrúpedes herbívoros de cascos sólidos domesticados desde tempos pré-históricos,OpenWordnet-PT
CAÇADOR,pessoa,noun.person,conhecida,4090,caçador > trabalhador especializado > trabalhador > alguém,alguém que caça,OpenWordnet-PT
CEMITÉRIO,pessoa,noun.location,conhecida,3902,cemitério,local destinado ao sepultamento dos mortos,Wikcionário
CHEFE,pessoa,noun.person,comum,401,chefe > alguém > organismo > todo,"pessoa que se destaca pelas qualidades de autoridade, competência, poder de decisão etc",Wikcionário
CIDADE,pessoa,noun.location,comum,270,cidade > municipalidade > distrito administrativo > circunscrição,uma grande e populosa área urbana; pode incluir vários distritos administrativos independentes,OpenWordnet-PT
CIDADÃO,pessoa,noun.person,conhecida,4613,cidadão > alguém > organismo > todo,"membro, nativo ou naturalizado, de um estado ou de uma outra comunidade política",OpenWordnet-PT
CIENTISTA,pessoa,noun.person,conhecida,3908,cientista > alguém > organismo > todo,uma pessoa com conhecimento avançado de uma ou mais ciências,OpenWordnet-PT
CIRURGIÃO,pessoa,noun.person,conhecida,4905,cirurgião > doutor > médico > profissional,médico que realiza a cirurgia,Wikcionário
CLIENTE,pessoa,noun.person,comum,1045,cliente > consumidor > usuário > alguém,pessoa protegida,Wikcionário
COBRA,pessoa,noun.animal,conhecida,2861,cobra > Diapsida > répteis > vertebrado,"réptil sem pernas, alongado e escamoso; algumas são venenosas",OpenWordnet-PT
COELHO,pessoa,noun.animal,conhecida,3669,coelho,qualquer um dos vários animais cavadores da família dos leporídeos que teem orelhas compridas e caudas curtas; alguns domesticados e criados como animais de estimação ou comida,OpenWordnet-PT
COMANDANTE,pessoa,noun.person,comum,1118,comandante > oficial > militar > trabalhador especializado,"aquele que comanda, que tem o comando (de uma tropa, navio, avião, etc)",Wikcionário
COMPANHEIRO,pessoa,noun.person,conhecida,2434,companheiro > amiga > alguém > organismo,um amigo que esta freqüentemente na companhia de outro,OpenWordnet-PT
CONVIDADO,pessoa,noun.person,conhecida,2362,convidado > visita > turista > alguém,um visitante a quem hospitalidade é estendida,OpenWordnet-PT
CORONEL,pessoa,noun.person,comum,1061,coronel,"patente militar, no Brasil entre o tenente-coronel e o general (abreviação: cel.)",Wikcionário
CRIANÇA,pessoa,noun.person,comum,494,criança > jovem > alguém > organismo,uma pessoa jovem de ambos os sexos,OpenWordnet-PT
CÃO,pessoa,noun.animal,comum,1269,cão > animal doméstico > animal > organismo,um membro do gênero Canis (provavelmente descendente do lobo comum) que foi domesticada pelo homem desde os tempos pré-históricos; ocorre em muitas raças,OpenWordnet-PT
DAMA,pessoa,noun.person,conhecida,2552,dama > mulher > adulto > alguém,peça do jogo de xadrez,Wikcionário
DELEGADO,pessoa,noun.person,conhecida,5256,delegado > agente,aquele que é autorizado por outrem a representá-lo,Wikcionário
DESERTO,pessoa,noun.location,conhecida,2378,deserto > Bioma > comunidade > agrupação,terra árida com pouca ou nenhuma vegetação,OpenWordnet-PT
DETETIVE,pessoa,noun.person,comum,888,detetive > agente,agente investigador de crimes,Wikcionário
